"","V1","V2","V3"
"","K03242","1","Dinophyta_K03242"
"","K01049","1","Dinophyta_K01049"
"","K07879","1","Dinophyta_K07879"
"","K02957","1","Dinophyta_K02957"
"","K08299","1","Dinophyta_K08299"
"","K02870","1","Dinophyta_K02870"
"","K12662","1","Dinophyta_K12662"
"","K00520","1","Dinophyta_K00520"
"","K17569","1","Dinophyta_K17569"
"","K07093","1","Dinophyta_K07093"
"","K17759","1","Dinophyta_K17759"
"","K15261","1","Dinophyta_K15261"
"","K02805","1","Dinophyta_K02805"
"","K06148","1","Dinophyta_K06148"
"","K16740","1","Dinophyta_K16740"
"","K03778","1","Dinophyta_K03778"
"","K01976","1","Dinophyta_K01976"
"","K04110","1","Dinophyta_K04110"
"","K05653","1","Dinophyta_K05653"
"","K14325","1","Dinophyta_K14325"
"","K11004","1","Dinophyta_K11004"
"","K10689","1","Dinophyta_K10689"
"","K07178","1","Dinophyta_K07178"
"","K01795","1","Dinophyta_K01795"
"","K06669","1","Dinophyta_K06669"
"","K12531","1","Dinophyta_K12531"
"","K11090","1","Dinophyta_K11090"
"","K15196","1","Dinophyta_K15196"
"","K06212","1","Dinophyta_K06212"
"","K15451","1","Dinophyta_K15451"
"","K04659","1","Dinophyta_K04659"
"","K13341","1","Dinophyta_K13341"
"","K16876","1","Dinophyta_K16876"
"","K05604","1","Dinophyta_K05604"
"","K02349","1","Dinophyta_K02349"
"","K10661","1","Dinophyta_K10661"
"","K17725","1","Dinophyta_K17725"
"","K17546","1","Dinophyta_K17546"
"","K02429","1","Dinophyta_K02429"
"","K17778","1","Dinophyta_K17778"
"","K15554","1","Dinophyta_K15554"
"","K00919","1","Dinophyta_K00919"
"","K11628","1","Dinophyta_K11628"
"","K01331","1","Dinophyta_K01331"
"","K13667","1","Dinophyta_K13667"
"","K14677","1","Dinophyta_K14677"
"","K03353","1","Dinophyta_K03353"
"","K11050","1","Dinophyta_K11050"
"","K01008","1","Dinophyta_K01008"
"","K11804","1","Dinophyta_K11804"
"","K16768","1","Dinophyta_K16768"
"","K08775","1","Dinophyta_K08775"
"","K09842","1","Dinophyta_K09842"
"","K01582","1","Dinophyta_K01582"
"","K01584","1","Dinophyta_K01584"
"","K06729","1","Dinophyta_K06729"
"","K00837","1","Dinophyta_K00837"
"","K04354","1","Dinophyta_K04354"
"","K15293","1","Dinophyta_K15293"
"","K09863","1","Dinophyta_K09863"
"","K04346","1","Dinophyta_K04346"
"","K04535","1","Dinophyta_K04535"
"","K09599","1","Dinophyta_K09599"
"","K00034","1","Dinophyta_K00034"
"","K07337","1","Dinophyta_K07337"
"","K17793","1","Dinophyta_K17793"
"","K06189","1","Dinophyta_K06189"
"","K13040","1","Dinophyta_K13040"
"","K15693","1","Dinophyta_K15693"
"","K05596","1","Dinophyta_K05596"
"","K03607","1","Dinophyta_K03607"
"","K11186","1","Dinophyta_K11186"
"","K11336","1","Dinophyta_K11336"
"","K17105","1","Dinophyta_K17105"
"","K11699","1","Dinophyta_K11699"
"","K06109","1","Dinophyta_K06109"
"","K03570","1","Dinophyta_K03570"
"","K08842","1","Dinophyta_K08842"
"","K15095","1","Dinophyta_K15095"
"","K09621","1","Dinophyta_K09621"
"","K01289","1","Dinophyta_K01289"
"","K10809","1","Dinophyta_K10809"
"","K01830","1","Dinophyta_K01830"
"","K13358","1","Dinophyta_K13358"
"","K15390","1","Dinophyta_K15390"
"","K04408","1","Dinophyta_K04408"
"","K06622","1","Dinophyta_K06622"
"","K03195","1","Dinophyta_K03195"
"","K13884","1","Dinophyta_K13884"
"","K12343","1","Dinophyta_K12343"
"","K16873","1","Dinophyta_K16873"
"","K08132","1","Dinophyta_K08132"
"","K05290","1","Dinophyta_K05290"
"","K15114","1","Dinophyta_K15114"
"","K12896","1","Dinophyta_K12896"
"","K11101","1","Dinophyta_K11101"
"","K03328","1","Dinophyta_K03328"
"","K04908","1","Dinophyta_K04908"
"","K03128","1","Dinophyta_K03128"
"","K14744","1","Dinophyta_K14744"
"","K05873","1","Dinophyta_K05873"
"","K12310","1","Dinophyta_K12310"
"","K15331","1","Dinophyta_K15331"
"","K01434","1","Dinophyta_K01434"
"","K08618","1","Dinophyta_K08618"
"","K02081","1","Dinophyta_K02081"
"","K01567","1","Dinophyta_K01567"
"","K17478","1","Dinophyta_K17478"
"","K15314","1","Dinophyta_K15314"
"","K11887","1","Dinophyta_K11887"
"","K09463","1","Dinophyta_K09463"
"","K04309","1","Dinophyta_K04309"
"","K17770","1","Dinophyta_K17770"
"","K09591","1","Dinophyta_K09591"
"","K11350","1","Dinophyta_K11350"
"","K04361","1","Dinophyta_K04361"
"","K06558","1","Dinophyta_K06558"
"","K05898","1","Dinophyta_K05898"
"","K04899","1","Dinophyta_K04899"
"","K16801","1","Dinophyta_K16801"
"","K07156","1","Dinophyta_K07156"
"","K15878","1","Dinophyta_K15878"
"","K14273","1","Dinophyta_K14273"
"","K12475","1","Dinophyta_K12475"
"","K07642","1","Dinophyta_K07642"
"","K01922","1","Chromerida_K01922"
"","K14835","1","Chromerida_K14835"
"","K15105","1","Chromerida_K15105"
"","K17710","1","Chromerida_K17710"
"","K10396","1","Chromerida_K10396"
"","K00936","1","Chromerida_K00936"
"","K12198","1","Chromerida_K12198"
"","K01933","1","Chromerida_K01933"
"","K11175","1","Chromerida_K11175"
"","K00901","1","Chromerida_K00901"
"","K10581","1","Chromerida_K10581"
"","K10586","1","Chromerida_K10586"
"","K06200","1","Chromerida_K06200"
"","K01044","1","Chromerida_K01044"
"","K13294","1","Chromerida_K13294"
"","K13298","1","Chromerida_K13298"
"","K03772","1","Bacillariophyta_K03772"
"","K01792","1","Bacillariophyta_K01792"
"","K15335","1","Bacillariophyta_K15335"
"","K06158","1","Bacillariophyta_K06158"
"","K15738","1","Bacillariophyta_K15738"
"","K15731","1","Bacillariophyta_K15731"
"","K17496","1","Bacillariophyta_K17496"
"","K17616","1","Bacillariophyta_K17616"
"","K08871","1","Bacillariophyta_K08871"
"","K06677","1","Bacillariophyta_K06677"
"","K10046","1","Bacillariophyta_K10046"
"","K11642","1","Bacillariophyta_K11642"
"","K17796","1","Bacillariophyta_K17796"
"","K10703","1","Bacillariophyta_K10703"
"","K12524","1","Bacillariophyta_K12524"
"","K06685","1","Bacillariophyta_K06685"
"","K16307","1","Bacillariophyta_K16307"
"","K07011","1","Bacillariophyta_K07011"
"","K14807","1","Bacillariophyta_K14807"
"","K01694","1","Bacillariophyta_K01694"
"","K01696","1","Bacillariophyta_K01696"
"","K06001","1","Bacillariophyta_K06001"
"","K12447","1","Bacillariophyta_K12447"
"","K13811","1","Bacillariophyta_K13811"
"","K03130","1","Bacillariophyta_K03130"
"","K15115","1","Bacillariophyta_K15115"
"","K14849","1","Bacillariophyta_K14849"
"","K03163","1","Bacillariophyta_K03163"
"","K00222","1","Bacillariophyta_K00222"
"","K10041","1","Bacillariophyta_K10041"
"","K08282","1","Bacillariophyta_K08282"
"","K07891","1","Bacillariophyta_K07891"
"","K10686","1","Bacillariophyta_K10686"
"","K11168","1","Bacillariophyta_K11168"
"","K15632","1","Bacillariophyta_K15632"
"","K02049","1","Bacillariophyta_K02049"
"","K13207","1","Bacillariophyta_K13207"
"","K03413","1","Bacillariophyta_K03413"
"","K01733","1","Bacillariophyta_K01733"
"","K06221","1","Bacillariophyta_K06221"
"","K10685","1","Bacillariophyta_K10685"
"","K12167","1","Bacillariophyta_K12167"
"","K00015","1","Bacillariophyta_K00015"
"","K12450","1","Bacillariophyta_K12450"
"","K15107","1","Bacillariophyta_K15107"
"","K12685","1","Bacillariophyta_K12685"
"","K08679","1","Bacillariophyta_K08679"
"","K05661","1","Bacillariophyta_K05661"
"","K00327","1","Bacillariophyta_K00327"
"","K02729","1","Bacillariophyta_K02729"
"","K00219","1","Bacillariophyta_K00219"
"","K15429","1","Bacillariophyta_K15429"
"","K12321","1","Bacillariophyta_K12321"
"","K14206","1","Bacillariophyta_K14206"
"","K17279","1","Bacillariophyta_K17279"
"","K02034","1","Bacillariophyta_K02034"
"","K02067","1","Bacillariophyta_K02067"
"","K10203","1","Bacillariophyta_K10203"
"","K03510","1","Bacillariophyta_K03510"
"","K05770","1","Bacillariophyta_K05770"
"","K06877","1","Bacillariophyta_K06877"
"","K09636","1","Bacillariophyta_K09636"
"","K03203","1","Bacillariophyta_K03203"
"","K14797","1","Bacillariophyta_K14797"
"","K09647","1","Bacillariophyta_K09647"
"","K02331","1","Bacillariophyta_K02331"
"","K16458","1","Bacillariophyta_K16458"
"","K07952","1","Bacillariophyta_K07952"
"","K12235","1","Bacillariophyta_K12235"
"","K00104","1","Bacillariophyta_K00104"
"","K12573","1","Bacillariophyta_K12573"
"","K03720","1","Bacillariophyta_K03720"
"","K10118","1","Bacillariophyta_K10118"
"","K03783","1","Bacillariophyta_K03783"
"","K00151","1","Bacillariophyta_K00151"
"","K15117","1","Bacillariophyta_K15117"
"","K12900","1","Bacillariophyta_K12900"
"","K02006","1","Bacillariophyta_K02006"
"","K08334","1","Bacillariophyta_K08334"
"","K08857","1","Bacillariophyta_K08857"
"","K12318","1","Bacillariophyta_K12318"
"","K15176","1","Bacillariophyta_K15176"
"","K00149","1","Bacillariophyta_K00149"
"","K09472","1","Bacillariophyta_K09472"
"","K15986","1","Bacillariophyta_K15986"
"","K02283","1","Bacillariophyta_K02283"
"","K08516","1","Bacillariophyta_K08516"
"","K10645","1","Bacillariophyta_K10645"
"","K13115","1","Bacillariophyta_K13115"
"","K09521","1","Bacillariophyta_K09521"
"","K03452","1","Bacillariophyta_K03452"
"","K10391","1","Bacillariophyta_K10391"
"","K11845","1","Bacillariophyta_K11845"
